Name,Rating,TMDB ID
Scream 6,0.0,1249984
Creed 3,7.116,677179
Cocaine Bear,6.032,804150
Grizzly,5.1,55784
Winnie-the-Pooh: Blood and Honey,0.0,1268053
Living,7.0,760099
All Quiet on the Western Front,7.7,49046
Knock at the Cabin,6.281,631842
Missing,0.0,862724
Puss in Boots The last wish,8.217,315162
Skinamarink,5.44,994143
Babylon,6.8,57082
Megan,5.5,883987
A Man Called Otto,7.8,937278
The Whale,7.828,785084
Avatar: The Way of Water,7.607,76600
Santa Claus,6.9,13383
Violent Night,7.3,899112
Strange World,6.317,877269
The Fabelmans,7.607,804095
Bones and All,7.055,791177
Glass Onion: A Knives Out Mystery,7.052,661374
Devotion,7.116,653851
The Banshees of Inisherin,7.455,674324
The Menu,7.2,593643
Black Panther Wakanda Forever,7.068,505642
Triangle of Sadness,7.1,497828
Prey for the Devil,6.902,676547
Black Adam,6.875,436270
Terrifier 2,6.7,663712
Halloween Ends,6.072,616820
Amsterdam,6.07,664469
Smile,6.1,42264
Don't Worry Darling,6.8,619730
See How They Run,6.37,766475
The Woman King,7.669,724495
Where the Crawdads Sing,7.564,682507
"Honk for Jesus, Save your Soul",5.0,848331
Vengeance,6.6,683340
The Invitation,6.4,306947
Prey,7.696,766507
"Bodies, Bodies, Bodies",6.5,82654
Beast,6.6,760741
Nope,6.8,762504
Bullet Train,7.44,718930
The Black Phone,7.576,756999
Elvis,7.501,614934
Thor : Love and Thunder,6.421,616037
Lightyear,6.943,718789
Jurassic World; Dominion,6.669,507086
Top Gun Maverick,8.2,361743
The Northman,7.049,639933
Surfer: Teen Confronts Fear,6.0,506071
Fantastic Beasts: Secrets of Dumbledore,6.6,338953
Everything Everywhere All at Once,7.8,545611
Sonic 2,7.473,675353
Morbius,5.98,526896
Cyrano,6.4,730047
Studio 666,5.945,895744
The Batman,7.7,414906
Licorice Pizza,7.0,718032
The Cursed,4.5,34104
Death on the Nile,6.431,505026
Scream,7.412,4232
The 355,6.1,522016
Nightmare Alley,7.133,19169
Matrix Resurrections,6.385,624860
Spiderman No Way Home,7.947,634649
House of Gucci,6.6,644495
Encanto,7.595,568124
Spencer,6.764,716612
Belfast,7.072,777270
Eternals,6.824,524434
Last Night in Soho,7.3,576845
The Last Duel,7.429,617653
Dune Part 1,7.782,438631
Halloween Kills,6.4,610253
Lamb,6.0,324284
No Time to Die,7.366,370172
The Protege,6.6,645788
The Card Counter,6.139,643532
Malignant,6.8,619778
Shang-Chi,7.524,566525
The Night House,6.6,547565
Candyman,6.618,9529
Free Guy,7.483,550988
Come Play,6.396,571384
The Empty Man,6.2,516632
Honest Thief,6.496,553604
The Trial of the Chicago Seven,7.688,556984
Infidel,5.5,649401
Bill and Ted Face the Music,5.91,501979
The New Mutants,6.101,340102
Unhinged,6.4,625568
I Still Believe,7.595,585244
Onward,7.67,508439
The Way Back,6.996,49009
Seberg,5.9,510298
The Invisible Man,7.109,570670
Fantasy Island,5.788,539537
Call of the Wild,7.5,481848
Sonic the Hedgehog,7.761,939243
Pain and Glory,7.39,519010
Birds of Prey,2.0,296919
The Lodge,5.3,35247
The Rhythm Section,5.506,466622
Gretel & Hansel,4.0,117150
The Gentlemen,7.68,522627
The Last Full Measure,7.3,442065
Color Out of Space,6.042,548473
Underwater,6.291,443791
Dolittle,6.599,448119
The Turning,5.729,492611
The Grudge,5.908,1970
Cats,4.0,536869
Bombshell,6.795,525661
Just Mercy,7.9,522212
Jumanji The Next Level,6.895,512200
joker,8.139,475557
ad astra,6.11,419704
judy,0.0,1248832
abominable,7.46,431580
the peanut butter falcon,7.413,463257
don't let go,6.843,539651
jexi,6.787,620725
The Good Liar,6.686,511322
gemini man,6.281,453405
Queen and Slim,7.14,536743
21 Bridges,6.76,535292
Dark Waters,7.5,552178
Knives Out,7.845,546554
Beautiful Day in the Neighborhood,7.0,501907
Frozen II,7.25,330457
Ford v Ferrari,8.003,359724
Midway,7.1,522162
Last Christmas,2.0,438327
Charlie's Angels,5.841,4327
Doctor Sleep,5.1,20321
Terminator Dark Fate,6.4,290859
Countdown,6.24,599975
Motherless Brooklyn,6.687,504562
Zombieland 2,6.92,338967
Little Women,7.3,9587
1917,7.989,530915
Uncut Gems,7.157,473033
Marriage Story,7.732,492188
The Irishman,7.594,398978
The Two Popes,7.484,551332
