Name,Rating,Notes
"Mufasa : The Lion King,",5/10,
"Lord of the Rings: The War of the Rohirrim,",4/10,
"Y2K,",8/10,
"765874 - Unification (Short Film),",10/10,
"Moana 2,",8/10,
"Gladiator 2,",7/10,
"Wicked,",8/10,
"A Real Pain,",9/10,
"Red One,",4/10,
"Anora,",5/10,
"Heretic,",9/10,
"Here,",5/10,
"We Live in Time,",7/10,
"Conclave,",6/10,
"Venom: The Last Dance,",5/10,
"Rumours,",3/10,
"Smile 2,",8/10,
"Piece by Piece,",7/10,
"Terrifer 3,",5/10,
"Joker: Folie a Deux,",5/10,
"Megalopolis,",3/10,
"The Wild Robot,",7/10,
"Transformers One,",8/10,
"The Substance,",9/10,
"The Killer's Game,",6/10,
"Speak No Evil,",7/10,
"My Old _____,",10/10,
"The Front Room,",3/10,
"""Beetlejuice, Beetlejuice"",",8/10,
"City of Dreams,",6/10,
"Afraid,",7/10,
"Strange Darling,",8/10,
"Slingshot,",5/10,
"The Crow,",4/10,
"Blink Twice,",9/10,
"It Ends with Us,",6/10,
"Cuckoo,",5/10,
"Alien: Romulus,",7/10,
"Skincare,",6/10,
"Borderlands,",4/10,
"Trap,",7/10,
"The Beast Within,",3/10,
"Deadpool & Wolverine,",8/10,
"Oddity,",3/10,
"Twisters,",9/10,
"Longlegs,",10/10,
"The Bikeriders,",7/10,
"Despicable Me 4,",7/10,
"MaXXXine,",9/10,
"Horizon: An American Saga Chapter 1,",6/10,
"A Quiet Place: Day One,",7/10,
"Latency,",3/10,
"Inside Out 2,",8/10,
"The Watchers,",5/10,
"In a Violent Nature (Extreme Gore warning),",3/10,
"Furiosa A Mad Max Saga,",9/10,
"Ezra,",7/10,
"Hit Man,",10/10,
"The Strangers Chapter 1,",2/10,
"Kingdom of the Planet of the Apes,",6/10,
"Tarot,",3/10,
"The Fall Guy,",8/10,
"Challengers,",6/10,
"Deep Sky,",10/10,
"Abigail,",4/10,
"Spy x Family: Code White,",6/10,
"Sting,",5/10,
"Civil War,",8/10,
"The Ministry of Ungentlemanly Warfare,",8/10,
"Monkey Man,",7/10,
"Late Night with the Devil,",10/10,
"Godzilla X Kong: The New Empire,",4/10,
"Winnie-the-Pooh: Blood and Honey 2,",3/10,
"Immaculate,",4/10,
"Ghostbusters: Frozen Empire,",6/10,
"Imaginary,",4/10,
"Arthur the king,",6/10,
"One Life,",9/10,
"Dune Part 2,",10/10,
"Kiss the Future,",8/10,
"Bob Marley: One Love,",8/10,
"Madame Web,",4/10,
"Lisa Frankenstein,",10/10,
"Argylle,",7/10,
"Out of Darkness,",5/10,
"American Fiction,",9/10,
"Miller's Girl,",3/10,
"Freud's Last Session,",5/10,
"ISS,",3/10,
"Mean Girls,",8/10,
"Origin,",7/10,
"The Beekeeper,",7/10,
"Night Swim,",4/10,
"The Book of Clarence,",6/10,
