Name,Rating,Notes
"Cats,",1/10,
"Bombshell,",6/10,
"Just Mercy,",8/10,
"Jumanji The Next Level,",6/10,
"joker,",9/10,
"ad astra,",7/10,
"judy,",7/10,
"abominable,",6/10,
"the peanut butter falcon,",9/10,
"don't let go,",7/10,
"linda ronstadt: the sound of her voice,",6/10,
"jexi,",2/10,
"The Good Liar,",5/10,
"gemini man,",6/10,
"Queen and Slim,",4/10,
"21 Bridges,",6/10,
"Dark Waters,",7/10,
"Knives Out,",10/10,
"Beautiful Day in the Neighborhood,",9/10,
"Frozen II,",7/10,
"Ford v Ferrari,",7/10,
"Midway,",3/10,
"Last Christmas,",5/10,
"Charlie's Angels,",4/10,
"Doctor Sleep,",7/10,
"Terminator Dark Fate,",8/10,
"Countdown,",2/10,
"Motherless Brooklyn,",5/10,
"Zombieland 2,",7/10,
"Little Women,",8/10,
"1917,",10/10,
"Uncut Gems,",5/10,
"Marriage Story,",8/10,
"The Irishman,",7/10,
"The Two Popes,",7/10,
