Name,Rating,Notes
"Come Play,",7/10,
"The Empty Man,",3/10,
"Honest Thief,",5/10,
"The Trial of the Chicago Seven,",8/10,
"Kajillionarie,",7/10,
"Infidel,",3/10,
"Bill and Ted Face the Music,",7/10,
"The New Mutants,",5/10,
"Unhinged,",4/10,
"The Way Back,",5/10,
"Seberg,",6/10,
"The Invisible Man,",7/10,
"Fantasy Island,",3/10,
"Call of the Wild,",6/10,
"Sonic the Hedgehog,",7/10,
"Pain and Glory,",8/10,
"Birds of Prey,",6/10,
"The Lodge,",8/10,
"The Rhythm Section,",4/10,
"Gretel & Hansel,",5/10,
"The Gentlemen,",8/10,
"The Last Full Measure,",5/10,
"Color Out of Space,",8/10,
"Underwater,",5/10,
"Dolittle,",4/10,
"The Turning,",1/10,
"The Grudge,",3/10,
"I Still Believe,",3/10,
"Onward,",8/10,
