Name,Rating,Notes
"Nightmare Alley,",4/10,
"Matrix Resurrections,",7/10,
"Spiderman No Way Home,",8/10,
"Stuntrock,",9/10,
"House of Gucci,",5/10,
"Encanto,",6/10,
"Spencer,",5/10,
"Gostbusters Afterlife,",7/10,
"Belfast,",10/10,
"Eternals,",6/10,
"Last Night in Soho,",9/10,
"The Last Duel,",7/10,
"Dune Part 1,",10/10,
"Halloween Kills,",4/10,
"Lamb,",8/10,
"No Time to Die,",8/10,
"The Protege,",5/10,
"The Card Counter,",8/10,
"Malignant,",7/10,
"Shang-Chi,",7/10,
"The Night House,",5/10,
"Candyman,",7/10,
"Free Guy,",7/10,
