Name,Rating,Notes
"The Whale,",7/10,
"Avatar: The Way of Water,",8/10,
"Santa Claus (1959),",0/10,
"Violent Night,",7/10,
"Strange World,",4/10,
"The Fabelmans,",7/10,
"Bones and All,",8/10,
"Glass Onion: A Knives Out Mystery,",9/10,
"Devotion,",8/10,
"The Banshees of Inisherin,",7/10,
"The Menu,",8/10,
"Black Panther Wakanda Forever,",8/10,
"Triangle of Sadness,",7/10,
"Prey for the Devil,",6/10,
"Black Adam,",6/10,
"Terrifier 2,",6/10,
"Halloween Ends,",4/10,
"Amsterdam,",5/10,
"Smile,",9/10,
"Don't Worry Darling,",5/10,
"See How They Run,",7/10,
"The Woman King,",6/10,
"Where the Crawdads Sing,",5/10,
"""Honk for Jesus, Save your Soul"",",6/10,
"Vengeance,",9/10,
"The Invitation,",3/10,
"Prey,",8/10,
"""Bodies, Bodies, Bodies"",",2/10,
"Beast,",5/10,
"Nope,",8/10,
"Bullet Train,",8/10,
"The Black Phone,",8/10,
"Elvis,",7/10,
"Thor : Love and Thunder,",5/10,
"Lightyear,",6/10,
"Jurassic World; Dominion,",5/10,
"Top Gun Maverick,",10/10,
"The Northman,",10/10,
"Surfer: Teen Confronts Fear,",0/10,
"Fantastic Beasts: Secrets of Dumbledore,",5/10,
"Everything Everywhere All at Once,",10/10,
"Sonic 2,",7/10,
"Morbius,",5/10,
"Cyrano,",6/10,
"Studio 666,",8/10,
"The Batman,",7/10,
"The Cursed,",5/10,
"Death on the Nile,",6/10,
"Scream (2022),",7/10,
"The 355,",5/10,
"Licorice Pizza,",8/10,
